from,to,distance
120051,711661,1753.1
711661,120051,1753.1
120051,711681,1911.4
711681,120051,1911.4
120051,711682,1911.4
711682,120051,1911.4
120051,711711,1777.9
711711,120051,1777.9
120051,711712,1777.9
711712,120051,1777.9
120051,711713,1777.9
711713,120051,1777.9
120051,711721,1777.9
711721,120051,1777.9
120051,711751,1835.4
711751,120051,1835.4
120051,711752,1835.4
711752,120051,1835.4
120051,711753,1835.4
711753,120051,1835.4
120051,711754,1835.4
711754,120051,1835.4
120051,711801,1879.7
711801,120051,1879.7
120051,711811,1879.7
711811,120051,1879.7
120051,711812,1879.7
711812,120051,1879.7
120081,120081,0.0
120081,120111,38.4
120111,120081,38.4
120081,120112,38.4
120112,120081,38.4
120081,120113,38.4
120113,120081,38.4
120081,134021,741.8
134021,120081,741.8
120081,134031,741.8
134031,120081,741.8
120081,134041,724.4
134041,120081,724.4
120081,134051,724.4
134051,120081,724.4
120081,134081,724.4
134081,120081,724.4
120081,134111,741.8
134111,120081,741.8
120081,134112,741.8
134112,120081,741.8
120081,140031,1260.1
140031,120081,1260.1
120081,140041,1244.6
140041,120081,1244.6
120081,140051,1244.6
140051,120081,1244.6
120081,140111,1277.6
140111,120081,1277.6
120081,140121,1277.6
140121,120081,1277.6
120081,159051,1946.8
159051,120081,1946.8
120081,159052,1946.8
159052,120081,1946.8
120081,159082,1946.8
159082,120081,1946.8
120081,159111,1992.6
159111,120081,1992.6
120081,159112,1992.6
159112,120081,1992.6
120081,159651,1904.9
159651,120081,1904.9
120081,159652,1904.9
159652,120081,1904.9
120081,159711,1946.8
159711,120081,1946.8
120081,159712,1904.9
159712,120081,1904.9
120081,159713,1956.0
159713,120081,1956.0
120081,405021,462.1
405021,120081,462.1
120081,405022,462.1
405022,120081,462.1
120081,405031,454.5
405031,120081,454.5
120081,405032,454.5
405032,120081,454.5
120081,405041,400.7
405041,120081,400.7
120081,405051,400.7
405051,120081,400.7
120081,405071,470.5
405071,120081,470.5
120081,405081,470.5
405081,120081,470.5
120081,405082,470.5
405082,120081,470.5
120081,405091,476.2
405091,120081,476.2
120081,405101,476.2
405101,120081,476.2
120081,405111,476.2
405111,120081,476.2
120081,405421,400.7
405421,120081,400.7
120081,405651,446.4
405651,120081,446.4
120081,405661,446.4
405661,120081,446.4
120081,405681,400.7
405681,120081,400.7
120081,405711,400.7
405711,120081,400.7
120081,405712,400.7
405712,120081,400.7
120081,405721,400.7
405721,120081,400.7
120081,406011,964.9
406011,120081,964.9
120081,406021,964.9
406021,120081,964.9
120081,406022,964.9
406022,120081,964.9
120081,406081,1269.8
406081,120081,1269.8
120081,406082,1269.8
406082,120081,1269.8
120081,406091,1269.8
406091,120081,1269.8
120081,406101,1300.6
406101,120081,1300.6
120081,406121,1300.6
406121,120081,1300.6
120081,701021,2120.1
701021,120081,2120.1
120081,701051,2112.9
701051,120081,2112.9
120081,701052,2112.9
701052,120081,2112.9
120081,701111,2128.0
701111,120081,2128.0
120081,701112,2128.0
701112,120081,2128.0
120081,701113,2128.0
701113,120081,2128.0
120081,701121,2128.0
701121,120081,2128.0
120081,702011,1842.3
702011,120081,1842.3
120081,702031,1842.3
702031,120081,1842.3
120081,702041,1879.9
702041,120081,1879.9
120081,702051,1879.9
702051,120081,1879.9
120081,702052,1879.9
702052,120081,1879.9
120081,702111,1861.2
702111,120081,1861.2
120081,702112,1861.2
702112,120081,1861.2
120081,702121,1861.2
702121,120081,1861.2
120081,703021,2112.4
703021,120081,2112.4
120081,703022,2112.4
703022,120081,2112.4
120081,703031,2112.4
703031,120081,2112.4
120081,703051,2192.6
703051,120081,2192.6
120081,703052,2192.6
703052,120081,2192.6
120081,703081,2133.5
703081,120081,2133.5
120081,703082,2133.5
703082,120081,2133.5
120081,703091,2133.5
703091,120081,2133.5
120081,703111,2068.8
703111,120081,2068.8
120081,703112,2068.8
703112,120081,2068.8
120081,709011,1943.7
709011,120081,1943.7
120081,709021,1943.7
709021,120081,1943.7
120081,709051,1943.7
709051,120081,1943.7
120081,709052,1943.7
709052,120081,1943.7
120081,709061,1943.7
709061,120081,1943.7
120081,709081,1960.5
709081,120081,1960.5
120081,709082,1960.5
709082,120081,1960.5
120081,709083,1960.5
709083,120081,1960.5
120081,709101,1960.5
709101,120081,1960.5
120081,709111,1960.5
709111,120081,1960.5
120081,709112,1960.5
709112,120081,1960.5
120081,709121,1960.5
709121,120081,1960.5
120081,709651,1943.7
709651,120081,1943.7
120081,709652,1943.7
709652,120081,1943.7
120081,709661,1943.7
709661,120081,1943.7
120081,709711,1960.5
709711,120081,1960.5
120081,709712,1960.5
709712,120081,1960.5
120081,711021,1802.5
711021,120081,1802.5
120081,711022,1802.5
711022,120081,1802.5
120081,711051,1945.1
711051,120081,1945.1
120081,711052,1945.1
711052,120081,1945.1
120081,711053,1945.1
711053,120081,1945.1
120081,711081,1827.3
711081,120081,1827.3
120081,711082,1827.3
711082,120081,1827.3
120081,711111,1877.5
711111,120081,1877.5
120081,711112,1877.5
711112,120081,1877.5
120081,711113,1877.5
711113,120081,1877.5
120081,711181,1905.4
711181,120081,1905.4
120081,711182,1905.4
711182,120081,1905.4
120081,711191,1877.5
711191,120081,1877.5
120081,711651,1802.5
711651,120081,1802.5
120081,711652,1802.5
711652,120081,1802.5
120081,711653,1802.5
711653,120081,1802.5
120081,711661,1802.5
711661,120081,1802.5
120081,711681,1960.8
711681,120081,1960.8
120081,711682,1960.8
711682,120081,1960.8
120081,711711,1827.3
711711,120081,1827.3
120081,711712,1827.3
711712,120081,1827.3
120081,711713,1827.3
711713,120081,1827.3
120081,711721,1827.3
711721,120081,1827.3
120081,711751,1884.8
711751,120081,1884.8
120081,711752,1884.8
711752,120081,1884.8
120081,711753,1884.8
711753,120081,1884.8
120081,711754,1884.8
711754,120081,1884.8
120081,711801,1929.1
711801,120081,1929.1
120081,711811,1929.1
711811,120081,1929.1
120081,711812,1929.1
711812,120081,1929.1
120111,120111,0.0
120111,120112,0.0
120112,120111,0.0
120111,120113,0.0
120113,120111,0.0
120111,134021,719.7
134021,120111,719.7
120111,134031,719.7
134031,120111,719.7
120111,134041,702.3
134041,120111,702.3
120111,134051,702.3
134051,120111,702.3
120111,134081,702.3
134081,120111,702.3
120111,134111,719.7
134111,120111,719.7
120111,134112,719.7
134112,120111,719.7
120111,140031,1238.0
140031,120111,1238.0
120111,140041,1222.5
140041,120111,1222.5
120111,140051,1222.5
140051,120111,1222.5
120111,140111,1255.6
140111,120111,1255.6
120111,140121,1255.6
140121,120111,1255.6
120111,159051,1924.8
159051,120111,1924.8
120111,159052,1924.8
159052,120111,1924.8
120111,159082,1924.8
159082,120111,1924.8
120111,159111,1970.5
